global_iso_id,nu,sw,elower,gamma_air,n_air,gamma_self,nu-err,sw-err,gamma_air-err,n_air-err,gamma_self-err,nu-ref,sw-ref,gamma_air-ref,n_air-ref,gamma_self-ref
36,6354.003834,8.2e-31,1685.4073,0.0487,0.84,0.047,5,6,6,4,6,1179,855,307,582,867
36,6356.049458,6.347e-31,1683.3616,0.0487,0.84,0.047,5,6,6,4,6,1179,855,307,582,867
36,6359.488709,7.055e-31,1745.0806,0.0469,0.85,0.046,5,6,6,4,6,1179,855,307,582,867
36,6361.555918,5.707e-31,1743.0133,0.0469,0.85,0.046,5,6,6,4,6,1179,855,307,582,867
36,6364.757454,4.74e-31,1598.1361,0.0513,0.84,0.05,5,6,6,4,6,1179,855,307,582,867
36,6364.933808,5.652e-31,1816.0979,0.0449,0.83,0.044,5,6,6,4,6,1179,855,307,582,867
36,6367.021354,4.718e-31,1814.0104,0.0449,0.83,0.044,5,6,6,4,6,1179,855,307,582,867
36,6370.337518,4.229e-31,1898.4477,0.0427,0.83,0.043,5,6,6,4,6,1179,855,307,582,867
36,6372.444616,3.615e-31,1896.3406,0.0427,0.83,0.043,5,6,6,4,6,1179,855,307,582,867
36,6375.698125,2.963e-31,1992.1165,0.0404,0.81,0.041,5,6,6,4,6,1179,855,307,582,867
36,6376.008811,4.751e-31,1635.0659,0.0496,0.84,0.048,5,6,6,4,6,1179,855,307,582,867
36,6377.824249,2.581e-31,1989.9904,0.0404,0.81,0.041,5,6,6,4,6,1179,855,307,582,867
36,6381.013808,1.948e-31,2097.0889,0.038,0.8,0.04,5,6,6,4,6,1179,855,307,582,867
36,6383.158593,1.722e-31,2094.9441,0.038,0.8,0.04,5,6,6,4,6,1179,855,307,582,867
36,6386.282642,1.204e-31,2213.3478,0.0356,0.8,0.038,5,6,6,4,6,1179,855,307,582,867
36,6387.21475,4.387e-31,1683.3616,0.0478,0.84,0.047,5,6,6,4,6,1179,855,307,582,867
36,6388.445827,1.077e-31,2211.1846,0.0356,0.8,0.038,5,6,6,4,6,1179,855,307,582,867
36,6391.502595,6.995e-32,2340.874,0.0333,0.79,0.037,5,6,6,4,6,1179,855,307,582,867
36,6393.683988,6.324e-32,2338.6926,0.0333,0.79,0.037,5,6,6,4,6,1179,855,307,582,867
36,6398.374889,3.757e-31,1743.0133,0.0459,0.83,0.045,5,6,6,4,6,1179,855,307,582,867
36,6409.487633,2.999e-31,1814.0104,0.0438,0.83,0.043,5,6,6,4,6,1179,855,307,582,867
36,6420.550851,2.237e-31,1896.3406,0.0416,0.81,0.042,5,6,6,4,6,1179,855,307,582,867
36,6431.562109,1.564e-31,1989.9904,0.0392,0.81,0.041,5,6,6,4,6,1179,855,307,582,867
36,6442.518764,1.026e-31,2094.9441,0.0368,0.8,0.039,5,6,6,4,6,1179,855,307,582,867
36,6453.418012,6.332e-32,2211.1846,0.0345,0.8,0.038,5,6,6,4,6,1179,855,307,582,867
36,7552.302236,2.461e-32,2011.2078,0.0263,0.69,0.03,5,4,5,4,5,1483,1484,1485,1487,867
36,7563.402268,1.105e-32,3492.759,0.0124,0.76,0.025,5,5,5,3,5,1483,1484,1485,1487,867
36,7571.882535,6.336e-32,1803.1738,0.0281,0.7,0.032,5,4,5,4,5,1483,1484,1485,1487,867
36,7578.302817,4.007e-32,3218.2518,0.0149,0.76,0.025,5,5,5,3,5,1483,1484,1485,1487,867
36,7591.338002,1.538e-31,1606.3483,0.0299,0.71,0.033,5,4,5,4,5,1483,1484,1485,1487,867
36,7593.060699,1.375e-31,2954.7217,0.0172,0.76,0.026,5,5,5,3,5,1483,1484,1485,1487,867
36,7607.676489,1.346e-32,2702.2118,0.0194,0.76,0.027,5,4,5,3,5,1483,1484,1485,1487,867
36,7607.676489,4.459e-31,2702.2118,0.0194,0.76,0.027,5,5,5,3,5,1483,1484,1485,1487,867
36,7610.667513,3.516e-31,1420.7632,0.0317,0.73,0.034,5,4,5,4,5,1483,1484,1485,1487,867
36,7620.248622,9.2e-32,2961.4676,0.0286,0.77,0.034,4,5,5,4,5,1179,855,307,582,867
